Date,SMA_Diff,SP_Diff,Mov
27/12/2013,-0.73544,-0.330078125,U
30/12/2013,-0.36239992,7.290039063,D
31/12/2013,0.03208011,-16.38000488,D
2/1/2014,0.17608011,-0.609985352,D
3/1/2014,0.37010006,-4.599975586,D
6/1/2014,0.50530004,11.10998535,U
7/1/2014,0.72046005,-0.390014648,U
8/1/2014,0.89078006,0.640014648,D
9/1/2014,1.00550006,4.239990234,D
10/1/2014,1.14120004,-23.17004395,D
13/1/2014,1.13942007,19.68005371,U
14/1/2014,1.2703001,9.5,U
15/1/2014,1.4243601,-2.489990234,U
16/1/2014,1.62638011,-7.190063477,D
17/1/2014,1.87388003,5.100097656,U
21/1/2014,2.13140003,1.059936523,U
22/1/2014,2.32944006,-16.40002441,U
23/1/2014,2.53474009,-38.16992188,D
24/1/2014,2.64704006,-8.729980469,D
27/1/2014,2.66096003,10.93994141,U
28/1/2014,2.77483994,-18.30004883,D
29/1/2014,2.85221995,19.98999023,U
30/1/2014,2.98675995,-11.59997559,D
31/1/2014,3.06053997,-40.69995117,D
3/2/2014,3.13195998,13.30993652,U
4/2/2014,3.21877994,-3.559936523,D
5/2/2014,3.26009992,21.79003906,U
6/2/2014,3.30309984,23.58996582,U
7/2/2014,3.43033979,2.819946289,U
10/2/2014,3.63449985,19.91003418,U
11/2/2014,3.9285799,-0.489990234,D
12/2/2014,3.99691978,10.56994629,U
13/2/2014,4.05007973,8.800048828,D
14/2/2014,4.10855972,2.130004883,U
18/2/2014,4.18645985,-12.01000977,D
19/2/2014,4.14341995,11.0300293,U
20/2/2014,4.16707985,-3.530029297,D
21/2/2014,4.17607982,11.35998535,U
24/2/2014,4.30473987,-2.489990234,U
25/2/2014,4.65513985,0.040039063,U
26/2/2014,4.97921986,9.130004883,D
27/2/2014,5.33275978,5.159912109,D
28/2/2014,5.56497978,-13.7199707,U
3/3/2014,5.86407971,28.18005371,U
4/3/2014,6.21393963,-0.099975586,D
5/3/2014,6.50547974,3.219970703,U
6/3/2014,6.85187984,1.010009766,D
7/3/2014,7.11953991,-0.869995117,D
10/3/2014,7.29291996,-9.540039063,D
11/3/2014,7.35577995,0.569946289,U
12/3/2014,7.44299991,-21.85998535,D
13/3/2014,7.52629994,-5.209960938,D
14/3/2014,7.51754002,17.69995117,U
17/3/2014,7.53952007,13.42004395,U
18/3/2014,7.54099998,-11.47998047,D
19/3/2014,7.60763992,11.23999023,D
20/3/2014,7.5148399,-5.489990234,D
21/3/2014,7.39729999,-9.080078125,D
24/3/2014,7.13194008,8.180053711,U
25/3/2014,6.55746017,-13.05993652,D
26/3/2014,5.86258022,-3.520019531,D
27/3/2014,5.22618031,8.579956055,U
28/3/2014,4.70882019,14.7199707,D
31/3/2014,4.13780017,13.18005371,U
1/4/2014,3.57126026,5.380004883,U
2/4/2014,3.13312012,-2.130004883,D
3/4/2014,2.67036015,-23.68005371,D
4/4/2014,2.20764008,-20.04992676,D
7/4/2014,1.76276001,6.919921875,U
8/4/2014,1.38989998,20.22009277,U
9/4/2014,0.99009998,-39.10009766,D
10/4/2014,0.53826011,-17.39001465,D
11/4/2014,0.18260014,14.92004395,D
14/4/2014,-0.2430199,12.36999512,D
